2026-06-03 12:00:57 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:00:58 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:01:01 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:01:01 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:07:16 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:07:19 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:08:42 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:08:43 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:39:54 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:40:00 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:40:04 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:40:08 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:40:09 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:40:10 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:40:12 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:40:17 | INFO | mocap_app.ui.main_window | Intrinsics solve state: intrinsics_solve_started
2026-06-03 12:40:17 | INFO | mocap_app.io.calibration_io | Calibration saved: C:\Users\Melle Poeckling\Documents\0A_QUEST_REPO\PhysioMotionTracker\HuCalib\calibration\current_calibration.json
2026-06-03 12:40:17 | INFO | mocap_app.ui.main_window | Calibration note: No observations available. Capture chessboard or Charuco samples first.
2026-06-03 12:40:17 | INFO | mocap_app.ui.main_window | Calibration note: Next step: solve synchronized multi-camera extrinsics from shared calibration captures.
2026-06-03 12:40:17 | INFO | mocap_app.ui.main_window | Calibration note: TODO: Add bundle-adjustment refinement over intrinsics+extrinsics.
2026-06-03 12:40:17 | INFO | mocap_app.ui.main_window | Calibration note: TODO: Add pairwise baseline diagnostics and epipolar residual plots.
2026-06-03 12:40:17 | INFO | mocap_app.ui.main_window | Calibration note: Triangulation assumption: camera rotation/translation must be world-to-camera extrinsics provided separately from intrinsics solve.
2026-06-03 12:40:17 | INFO | mocap_app.ui.main_window | Intrinsics solve state: intrinsics_solve_finished
2026-06-03 12:40:19 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:40:21 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:40:24 | INFO | mocap_app.ui.main_window | Intrinsics solve state: intrinsics_solve_started
2026-06-03 12:40:24 | INFO | mocap_app.io.calibration_io | Calibration saved: C:\Users\Melle Poeckling\Documents\0A_QUEST_REPO\PhysioMotionTracker\HuCalib\calibration\current_calibration.json
2026-06-03 12:40:24 | INFO | mocap_app.ui.main_window | Calibration note: No observations available. Capture chessboard or Charuco samples first.
2026-06-03 12:40:24 | INFO | mocap_app.ui.main_window | Calibration note: Next step: solve synchronized multi-camera extrinsics from shared calibration captures.
2026-06-03 12:40:24 | INFO | mocap_app.ui.main_window | Calibration note: TODO: Add bundle-adjustment refinement over intrinsics+extrinsics.
2026-06-03 12:40:24 | INFO | mocap_app.ui.main_window | Calibration note: TODO: Add pairwise baseline diagnostics and epipolar residual plots.
2026-06-03 12:40:24 | INFO | mocap_app.ui.main_window | Calibration note: Triangulation assumption: camera rotation/translation must be world-to-camera extrinsics provided separately from intrinsics solve.
2026-06-03 12:40:24 | INFO | mocap_app.ui.main_window | Intrinsics solve state: intrinsics_solve_finished
2026-06-03 12:40:47 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:40:55 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:40:57 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:40:59 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:41:01 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
